date,temperaturemin,temperaturemax,precipitation,snowfall,snowdepth,avgwindspeed,fastest2minwinddir,fastest2minwindspeed,fastest5secwinddir,fastest5secwindspeed,fog,fogheavy,mist,rain,fogground,ice,glaze,drizzle,snow,freezingrain,smokehaze,thunder,highwind,hail,blowingsnow,dust,freezingfog
2017-12-17,27.1,51.1,0,0,0,2.24,240,10.07,200,12.08,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
2017-12-19,36,70,0,0,0,4.47,230,14.09,240,17,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2017-12-28,18.1,30.2,0,0,0,7.83,70,16.11,80,21.03,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2017-12-31,23.2,35.1,0,0,0,10.07,50,18.12,50,23.94,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2018-01-02,12.2,32,0,0,0,2.91,30,10.07,20,14.09,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2018-01-10,43,61,0,0,0,4.92,90,10.07,100,17,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2018-01-18,10.2,34,0,0.2,5.91,5.59,270,12.97,320,19.01,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2018-01-20,26.2,55.9,0,0,1.18,5.59,220,12.97,230,16.11,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2018-01-22,37.9,62.1,0,0,0,4.7,190,18.12,200,25.05,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2018-01-27,31.1,66.9,0,0,0,6.26,170,17,190,21.92,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2018-01-29,33.1,52,0.59,0,0,8.05,360,14.99,20,25.05,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2018-02-01,31.1,62.1,0,0,0,13.2,240,25.05,230,31.09,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2018-02-07,44.1,64.9,0.21,0,0,8.5,190,21.92,200,29.97,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2018-02-13,37,44.1,0,0,0,8.72,50,17,50,21.92,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2018-02-16,55.9,81,0.02,0,0,13.42,230,25.95,230,33.11,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2018-02-20,50,72,0,0,0,3.36,200,12.97,190,17,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2018-02-28,39,57,0.07,0,0,4.92,220,12.97,200,16.11,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2018-03-05,26.2,54,0,0,0,4.7,50,12.97,50,19.91,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2018-03-08,27.1,46.9,0,0,0,4.47,250,16.11,310,25.05,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2018-03-11,37.9,48.9,0.21,0,0,7.83,80,16.11,80,21.92,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2018-03-12,32,37.9,0.92,1.42,0,7.16,30,14.09,30,19.91,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
2018-03-15,24.3,64.9,0,0,0,11.63,230,29.97,240,42.05,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2018-03-18,39.9,60.1,0.01,0,0,6.04,40,16.11,40,21.92,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2018-03-23,27.1,55.9,0,0,0,3.8,270,16.11,260,23.04,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2018-03-28,43,75.9,0,0,0,10.74,240,21.92,230,29.08,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2018-04-01,41,75,0,0,0,7.61,230,16.11,240,19.91,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2018-04-08,32,52,0,0,0,4.92,40,17,20,25.05,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
2018-04-19,45,75.9,0,0,0,10.96,290,23.94,290,34,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2018-05-02,53.1,84.9,0,0,0,10.07,230,21.03,220,25.05,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2018-05-04,60.1,84.9,0,0,0,12.97,220,21.92,240,25.95,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2018-05-06,62.1,84.9,0.16,0,0,3.58,310,18.12,300,33.11,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
2018-05-14,68,93,0,0,0,8.05,220,16.11,250,19.91,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2018-05-15,69.1,88,0.02,0,0,8.72,240,18.12,190,23.94,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2018-06-02,68,87.1,0.08,0,0,4.7,320,14.09,300,23.94,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
2018-06-14,70,91,0,0,0,4.47,360,10.07,10,14.09,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2018-06-18,73.9,93.9,0,0,0,4.92,230,14.09,220,17,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
2018-06-25,72,88,0.02,0,0,4.25,50,12.08,20,16.11,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2018-07-26,68,91.9,0,0,0,4.92,220,12.97,220,16.11,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2018-07-29,70,88,0.07,0,0,4.25,140,16.11,90,23.04,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
2018-08-05,72,93,0,0,0,3.36,90,16.11,140,25.05,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2018-08-12,70,89.1,0.8,0,0,2.91,20,17,20,23.04,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
2018-08-19,68,88,1.83,0,0,6.71,30,16.11,20,21.92,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
2018-08-20,68,87.1,0.86,0,0,4.47,220,16.11,220,19.91,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
2018-08-22,70,88,0.01,0,0,6.71,230,14.09,330,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2018-08-25,59,82.9,0,0,0,2.68,40,10.07,50,14.99,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2018-08-27,69.1,93,0,0,0,4.03,250,12.08,240,14.99,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
2018-08-28,71.1,93.9,0,0,0,6.04,240,12.97,240,16.11,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2018-08-29,72,93.9,0,0,0,7.38,230,14.99,210,21.03,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2018-09-04,72,91.9,0.01,0,0,2.91,40,12.97,110,19.01,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2018-09-07,71.1,91.9,0.03,0,0,2.68,170,8.95,170,14.09,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
2018-09-09,66.9,80.1,0.15,0,0,5.37,40,12.97,30,17,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2018-09-10,66.9,88,0.26,0,0,4.47,230,23.04,230,27.96,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
2018-09-12,72,88,0.13,0,0,5.14,30,12.97,40,21.03,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
2018-09-13,73.9,81,0.28,0,0,11.18,20,21.03,40,31.09,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2018-09-14,73,79,2.5,0,0,20.36,40,33.11,50,48.09,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2018-09-16,73,75.9,0.9,0,0,14.99,80,23.04,80,33.11,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2007-01-13,48,69.1,0,0,0,6.93,230,17,230,21.03,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2007-01-19,34,54,0,0,0,6.93,270,17,260,23.04,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No
2007-01-21,28,35.1,0.8,0,0,5.82,90,12.97,90,17,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No
2007-01-25,30.9,46.9,0,0,0,6.49,290,19.91,310,25.05,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2007-01-27,32,64,0,0,0,11.41,230,19.91,230,23.04,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2007-02-05,19.9,39.9,0,0,0,7.83,270,17.9,280,23.94,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2007-02-08,27,48,0,0,0,3.13,300,14.99,280,17.9,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2007-02-09,21.9,42.1,0,0,0,3.36,360,14.09,10,19.91,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2007-02-26,41,61,0,0,0,2.46,210,8.95,230,12.08,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2007-03-04,34,50,0,0,0,6.93,280,17,280,23.04,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2007-03-05,26.1,64,0,0,0,8.5,240,21.92,240,29.97,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2007-03-17,33.1,48.9,0,0,0,7.38,330,19.91,330,29.08,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2007-03-18,28,48.9,0,0,0,4.25,240,14.09,350,19.91,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2007-04-05,41,57.9,0,0,0,3.58,310,14.99,320,23.94,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2007-04-06,30,57,0.01,0,0,2.46,360,16.11,290,25.95,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
2007-04-11,46,59,0.73,0,0,6.49,140,17.9,150,25.05,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No
2007-04-17,46.9,72,0,0,0,7.61,360,19.91,320,29.08,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2007-04-19,44.1,57.9,0.04,0,0,4.47,90,12.97,90,16.11,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
2007-04-23,52,82.9,0,0,0,11.41,230,21.92,240,25.95,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2007-04-27,63,82.9,0.25,0,0,11.18,220,21.03,230,23.94,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
2007-04-28,59,75.9,0,0,0,6.71,270,16.11,290,21.92,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2007-04-29,53.1,80.1,0,0,0,6.49,300,17.9,290,25.05,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2007-05-02,63,90,0,0,0,8.72,230,14.99,230,19.91,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2007-05-03,57,71.1,0,0,0,9.62,80,17,50,21.03,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2007-05-05,55,66,0.01,0,0,2.68,320,6.93,90,8.95,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No
2007-05-07,42.1,70,0,0,0,12.53,50,25.05,40,31.09,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2007-05-08,50,69.1,0.04,0,0,11.41,40,17.9,40,23.94,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No
2007-05-16,62.1,84,0.02,0,0,13.87,230,23.94,230,29.08,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No
2007-05-18,48.9,70,0,0,0,7.83,30,16.11,40,21.92,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55,82,0,0,0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-10,59,79,0.02,0,0,7.83,220,17,220,21.92,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No
2009-10-14,46.9,61,0.14,0,0,8.72,40,14.99,50,21.03,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No
2009-10-17,45,57.9,0,0,0,6.26,30,14.09,40,21.03,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-29,48,68,0,0,0,5.82,80,14.99,70,17.9,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-11-03,37.9,71.1,0,0,0,2.01,20,8.05,290,14.09,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-11-10,55.9,63,0.88,0,0,4.7,30,16.11,30,23.04,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No
2009-11-16,42.1,73.9,0,0,0,0.89,80,8.05,100,12.08,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-11-17,46.9,63,0,0,0,5.82,50,14.09,50,17,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-11-18,52,62.1,0.45,0,0,8.28,40,16.11,50,21.03,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No
2009-11-19,57.9,73,0.01,0,0,5.14,250,10.07,250,14.99,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No
2009-11-22,37,57,0.19,0,0,5.82,70,17,70,23.04,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No
2009-11-27,36,54,0,0,0,7.38,250,21.03,270,31.09,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-12-01,30,55.9,0,0,0,2.01,240,8.05,230,12.08,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-12-08,33.1,46,0.45,0,0,6.49,80,16.11,80,21.92,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No
2009-12-11,25,36,0,0,0,3.36,290,12.08,290,16.11,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-12-16,28.9,48.9,0,0,0,2.91,10,10.07,350,16.11,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-12-17,28,45,0,0,0,2.01,50,10.07,20,14.09,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-12-21,24.1,48.9,0,0,0,2.24,240,14.09,270,17.9,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-12-23,25,53.1,0,0,0,0.45,50,6.04,160,10.07,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2010-01-07,19.9,48,0,0,0,5.37,210,12.97,230,17.9,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2010-01-08,21.9,42.1,0.05,0,0,8.95,240,23.04,230,33.11,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No
2010-01-10,19,37,0,0,0,2.46,30,12.08,30,17,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2010-01-14,23,57,0,0,0,3.58,220,8.95,220,12.97,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2010-01-19,35.1,66,0,0,0,1.79,240,12.08,230,14.09,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2010-02-16,27,41,0,0,0,7.61,240,17.9,230,25.95,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2010-02-20,23,59,0,0,0,2.46,280,12.08,290,16.11,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2010-02-22,36,52,0.29,0,0,2.46,110,16.11,110,19.91,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No
2010-03-02,33.1,42.1,0.29,0.2,0,9.62,50,19.91,10,25.95,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No
2010-03-09,35.1,73,0,0,0,2.01,230,14.09,220,19.91,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2010-03-16,39,52,0,0,0,4.7,20,14.09,30,23.04,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2010-03-20,39.9,78.1,0,0,0,5.59,220,17,210,23.04,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2010-04-02,54,88,0,0,0,4.7,200,14.09,240,19.91,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2010-04-04,57.9,82.9,0,0,0,3.58,220,12.97,230,17,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2010-04-06,62.1,90,0,0,0,10.29,230,23.04,230,29.97,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2010-04-14,41,57,0,0,0,7.61,50,16.11,50,23.94,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2010-05-02,72,91.9,0,0,0,13.87,230,23.94,230,33.11,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2010-05-10,42.1,68,0,0,0,4.47,80,16.11,70,21.92,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2010-05-14,64.9,93.9,0,0,0,7.61,240,14.99,240,21.03,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No
2010-05-16,66.9,82,0.12,0,0,4.92,120,14.99,120,19.91,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,Yes,No,No,No
2010-05-20,57.9,79,0,0,0,2.68,30,8.95,40,14.09,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2010-05-26,62.1,82.9,0,0,0,5.82,50,16.11,50,19.91,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2010-05-28,64,87.1,0.41,0,0,6.71,230,25.05,220,31.09,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No
2010-06-01,69.1,84.9,0.29,0,0,6.49,160,19.91,170,23.04,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No
2010-06-02,71.1,88,0.01,0,0,4.7,140,12.97,140,17,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No
2010-06-14,71.1,93,0,0,0,3.8,270,12.97,240,19.91,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2010-06-15,72,93.9,0.01,0,0,2.46,230,14.99,220,17,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No
2010-06-25,77,93.9,0,0,0,4.47,190,14.09,190,17.9,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2010-06-27,73,100.9,0,0,0,8.05,230,17.9,230,21.92,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2010-07-20,73,98.1,0.64,0,0,7.61,280,29.97,280,44.96,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No
2010-07-21,75,97,0,0,0,7.83,230,17,260,29.08,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
2010-07-24,79,100,0,0,0,9.62,230,17.9,240,25.95,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
2010-07-28,73.9,93.9,0,0,0,5.14,250,12.97,220,16.11,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2010-07-30,73,89.1,0,0,0,5.59,60,14.09,30,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2010-07-31,64,78.1,0.12,0,0,2.91,100,10.07,110,16.11,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No
2010-08-03,71.1,91,0,0,0,3.8,190,10.07,150,17,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2010-08-14,73.9,88,0,0,0,7.61,90,14.09,90,17.9,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2010-08-18,75,96.1,0.1,0,0,6.49,240,19.91,230,27.96,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No
2010-08-21,66.9,90,0,0,0,3.36,130,12.97,140,19.91,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No
2010-08-23,72,89.1,0,0,0,4.25,100,16.11,70,21.03,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
2010-08-28,70,90,0,0,0,2.68,50,12.97,110,19.91,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No
2010-08-31,64.9,97,0,0,0,2.24,50,10.07,30,16.11,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
2010-09-08,71.1,91,0,0,0,8.95,280,17.9,270,23.94,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
2010-09-10,57.9,88,0,0,0,5.37,30,14.09,10,21.03,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2010-09-12,64.9,88,0.03,0,0,3.8,290,12.97,340,21.92,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No
2010-09-13,63,87.1,0,0,0,3.58,60,16.11,50,23.04,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2010-09-14,60.1,96.1,0,0,0,4.03,280,16.11,280,23.94,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2010-09-19,60.1,93,0,0,0,2.01,80,10.07,130,14.99,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2010-09-20,64,93,0,0,0,4.7,50,14.09,30,21.92,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2010-09-22,70,96.1,0,0,0,8.5,240,17.9,230,25.05,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2010-09-23,71.1,99,0,0,0,6.71,220,14.99,220,19.91,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2010-09-24,70,96.1,0,0,0,7.83,170,14.99,230,21.03,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2010-09-30,68,77,1.84,0,0,7.83,160,21.92,170,31.09,Yes,No,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No
2010-10-05,46.9,69.1,0,0,0,4.03,290,14.99,310,21.92,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2010-10-07,46.9,82,0,0,0,5.59,260,17.9,270,25.95,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2010-10-12,57,88,0,0,0,3.8,230,14.09,240,17,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2010-10-20,52,64.9,0.1,0,0,2.24,40,8.05,50,12.08,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No
2010-10-22,43,68,0,0,0,2.91,290,10.07,330,17,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2010-10-24,46.9,78.1,0,0,0,5.82,230,16.11,230,23.04,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
